Sample.No	Sample	Sample.ID	Stimulus	Group	RefGroup	ExpectedSig	Plate.12well	Row.12well	Column.12well	Plate.96well	Row.96well	Column.96well	RNA.concentration.ng.ul	X260.280	X260.230	X2g.total	H20.20.ul	Library.concentration.ng.ul	X6ng.each.sample	Lane	Barcode	Confluency	ERCC
1	HAP1_PoolAB_1	HAP1_PoolAB_1	None	HAP1_PoolAB_1	NA	NA	NA	NA	NA	Series	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	HAP1_PoolAB_2	HAP1_PoolAB_2	None	HAP1_PoolAB_2	NA	NA	NA	NA	NA	Series	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	HAP1_PoolAB_3	HAP1_PoolAB_3	None	HAP1_PoolAB_3	NA	NA	NA	NA	NA	Series	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	HAP1_PoolAB_4	HAP1_PoolAB_4	None	HAP1_PoolAB_4	NA	NA	NA	NA	NA	Series	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	HAP1_PoolAB_5	HAP1_PoolAB_5	None	HAP1_PoolAB_5	NA	NA	NA	NA	NA	Series	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	HAP1_PoolAB_6	HAP1_PoolAB_6	None	HAP1_PoolAB_6	NA	NA	NA	NA	NA	Series	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	HAP1_PoolAB_7	HAP1_PoolAB_7	None	HAP1_PoolAB_7	NA	NA	NA	NA	NA	Series	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8	HAP1_PoolAB_8	HAP1_PoolAB_8	None	HAP1_PoolAB_8	NA	NA	NA	NA	NA	Series	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	HAP1_PoolAB_9	HAP1_PoolAB_9	None	HAP1_PoolAB_9	NA	NA	NA	NA	NA	Series	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	HAP1_PoolAB_10	HAP1_PoolAB_10	None	HAP1_PoolAB_10	NA	NA	NA	NA	NA	Series	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11	HAP1_PoolAB_11	HAP1_PoolAB_11	None	HAP1_PoolAB_11	NA	NA	NA	NA	NA	Series	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12	HAP1_PoolAB_12	HAP1_PoolAB_12	None	HAP1_PoolAB_12	NA	NA	NA	NA	NA	Series	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13	HAP1_PoolAB_13	HAP1_PoolAB_13	None	HAP1_PoolAB_13	NA	NA	NA	NA	NA	Series	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
14	HAP1_PoolAB_14	HAP1_PoolAB_14	None	HAP1_PoolAB_14	NA	NA	NA	NA	NA	Series	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
15	HAP1_PoolAB_15	HAP1_PoolAB_15	None	HAP1_PoolAB_15	NA	NA	NA	NA	NA	Series	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16	HAP1_PoolAB_16	HAP1_PoolAB_16	None	HAP1_PoolAB_16	NA	NA	NA	NA	NA	Series	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
